"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"15357","RICES LANDING, PA","H",318,"H",3611,"H",13525,27,"RICES LANDING","PA","GREENE"
"15358","RICHEYVILLE, PA","G",120,"G",1437,"G",6189,8,"RICHEYVILLE","PA","WASHINGTON"
"15359","ROGERSVILLE, PA","J",99,"J",738,"H",2782,8,"ROGERSVILLE","PA","GREENE"
"15360","SCENERY HILL, PA","G",236,"G",2098,"G",9506,28,"SCENERY HILL","PA","WASHINGTON"
"15363","STRABANE, PA","H",47,"G",568,"G",2634,8,"STRABANE","PA","WASHINGTON"
"15364","SYCAMORE, PA","H",336,"H",8126,"H",29077,6,"SYCAMORE","PA","GREENE"
"15366","VAN VOORHIS, PA","G",7,"H",29,"J",147,3,"VAN VOORHIS","PA","WASHINGTON"
"15367","VENETIA, PA","H",537,"G",4849,"G",22520,134,"VENETIA","PA","WASHINGTON"
"15370","WAYNESBURG, PA","G",5419,"G",53933,"G",211827,346,"WAYNESBURG","PA","GREENE"
"15376","WEST ALEXANDER, PA","H",62,"H",1073,"G",2825,16,"WEST ALEXANDER","PA","WASHINGTON"
"15377","WEST FINLEY, PA","H",203,"H",5114,"H",17121,13,"WEST FINLEY","PA","WASHINGTON"
"15379","WEST MIDDLETOWN, PA","G",31,"J",565,"J",2261,4,"WEST MIDDLETOWN","PA","WASHINGTON"
"15380","WIND RIDGE, PA","H",463,"H",11527,"H",40419,9,"WIND RIDGE","PA","GREENE"
"15401","UNIONTOWN, PA","G",14349,"G",119635,"G",493656,972,"UNIONTOWN","PA","FAYETTE"
"15410","ADAH, PA","J",99,"J",2477,"J",9366,7,"ADAH","PA","FAYETTE"
"15411","ADDISON, PA","J",64,"J",417,"J",2155,14,"ADDISON","PA","SOMERSET"
"15412","ALLENPORT, PA","J",371,"J",6314,"J",37166,10,"ALLENPORT","PA","WASHINGTON"
"15413","ALLISON, PA","J",37,"J",779,"J",2070,4,"ALLISON","PA","FAYETTE"
"15417","BROWNSVILLE, PA","G",1541,"H",11541,"H",46194,110,"BROWNSVILLE","PA","FAYETTE"
"15419","CALIFORNIA, PA","G",342,"G",2629,"G",11494,49,"CALIFORNIA","PA","WASHINGTON"
"15421","CHALK HILL, PA","G",105,"H",737,"H",3682,16,"CHALK HILL","PA","FAYETTE"
"15423","COAL CENTER, PA","G",683,"G",7786,"G",31253,28,"COAL CENTER","PA","WASHINGTON"
"15424","CONFLUENCE, PA","G",233,"H",1172,"H",5774,34,"CONFLUENCE","PA","SOMERSET"
"15425","CONNELLSVILLE, PA","G",4991,"H",44120,"H",172716,412,"CONNELLSVILLE","PA","FAYETTE"
"15427","DAISYTOWN, PA","G",33,"H",223,"H",863,11,"DAISYTOWN","PA","WASHINGTON"
"15428","DAWSON, PA","J",74,"H",542,"H",2856,12,"DAWSON","PA","FAYETTE"
"15431","DUNBAR, PA","H",336,"H",3650,"H",13722,47,"DUNBAR","PA","FAYETTE"
"15432","DUNLEVY, PA","G",109,"G",719,"H",3095,14,"DUNLEVY","PA","WASHINGTON"
"15433","EAST MILLSBORO, PA","J",65,"J",676,"J",1923,3,"EAST MILLSBORO","PA","FAYETTE"
"15435","FAIRBANK, PA","J",13,"G",115,"G",346,5,"FAIRBANK","PA","FAYETTE"
"15436","FAIRCHANCE, PA","G",243,"H",2300,"H",10042,43,"FAIRCHANCE","PA","FAYETTE"
"15437","FARMINGTON, PA","J",1399,"J",12538,"J",44671,51,"FARMINGTON","PA","FAYETTE"
"15438","FAYETTE CITY, PA","H",104,"H",648,"H",2782,18,"FAYETTE CITY","PA","FAYETTE"
"15440","GIBBON GLADE, PA","J",30,"J",119,"J",579,5,"GIBBON GLADE","PA","FAYETTE"
"15442","GRINDSTONE, PA","H",480,"G",3328,"G",14145,24,"GRINDSTONE","PA","FAYETTE"
"15444","HILLER, PA","J",7,"J",25,"G",66,3,"HILLER","PA","FAYETTE"
"15445","HOPWOOD, PA","H",428,"H",3156,"H",12605,52,"HOPWOOD","PA","FAYETTE"
"15446","INDIAN HEAD, PA","J",36,"J",296,"J",981,4,"INDIAN HEAD","PA","FAYETTE"
"15450","LA BELLE, PA","J",61,"H",403,"H",1636,3,"LA BELLE","PA","FAYETTE"
"15451","LAKE LYNN, PA","J",91,"J",1333,"J",5360,8,"LAKE LYNN","PA","FAYETTE"
"15456","LEMONT FURNACE, PA","H",1765,"H",21452,"H",68715,61,"LEMONT FURNACE","PA","FAYETTE"
"15458","MC CLELLANDTOWN, PA","H",88,"H",634,"G",3576,20,"MC CLELLANDTOWN","PA","FAYETTE"
"15459","MARKLEYSBURG, PA","H",440,"H",3040,"H",13199,38,"MARKLEYSBURG","PA","FAYETTE"
"15461","MASONTOWN, PA","G",623,"G",5824,"G",21150,67,"MASONTOWN","PA","FAYETTE"
"15462","MELCROFT, PA","H",49,"G",380,"G",1860,9,"MELCROFT","PA","FAYETTE"
"15464","MILL RUN, PA","J",317,"H",2192,"H",10428,14,"MILL RUN","PA","FAYETTE"
"15465","MOUNT BRADDOCK, PA","G",523,"H",11769,"H",26511,16,"MOUNT BRADDOCK","PA","FAYETTE"
"15466","NEWELL, PA","J",34,"J",580,"J",2272,4,"NEWELL","PA","FAYETTE"
"15468","NEW SALEM, PA","H",108,"H",776,"H",3318,14,"NEW SALEM","PA","FAYETTE"
"15469","NORMALVILLE, PA","G",114,"G",453,"G",1714,20,"NORMALVILLE","PA","FAYETTE"
"15470","OHIOPYLE, PA","J",222,"J",1781,"H",8877,15,"OHIOPYLE","PA","FAYETTE"
